class,label,block,a,b,metric,a_median,a_p25,a_p75,b_median,b_p25,b_p75,ratio_b_over_a,measurable,faster,result,a_index_used,b_index_used
J,JSONB storage form,K2,K2@J-2,K2@J-4,exec,1.456,1.394,1.482,0.319,0.302,0.362,0.2190934065934066,True,K2@J-4,measurable: K2@J-4 faster,15/15,15/15
J,JSONB storage form,K2,K2@J-2,K2@J-4,plan,0.066,0.058,0.073,0.043,0.039,0.052,0.6515151515151514,True,K2@J-4,measurable: K2@J-4 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,K2,K2@J-0y,K2@J-4c,exec,29.501,28.84,30.558,3.866,3.698,4.0,0.13104640520660316,True,K2@J-4c,measurable: K2@J-4c faster,0/15,0/15
J,JSONB storage form,K2,K2@J-0y,K2@J-4c,plan,0.046,0.045,0.048,0.038,0.033,0.041,0.8260869565217391,True,K2@J-4c,measurable: K2@J-4c faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,K3,K3@G-1,K3@G-2,exec,0.074,0.067,0.085,1.72,1.632,1.867,23.243243243243246,True,K3@G-1,measurable: K3@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,K3,K3@G-1,K3@G-2,plan,0.047,0.043,0.052,0.046,0.04,0.057,0.9787234042553191,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,K3,K3@G-1,K3@G-3,exec,0.074,0.067,0.085,1.8,1.627,1.966,24.324324324324326,True,K3@G-1,measurable: K3@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,K3,K3@G-1,K3@G-3,plan,0.047,0.043,0.052,0.06,0.045,0.067,1.276595744680851,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,K3,K3@G-2,K3@G-3,exec,1.72,1.632,1.867,1.8,1.627,1.966,1.0465116279069768,False,,not measurable,0/15,0/15
IM,index method,K3,K3@G-2,K3@G-3,plan,0.046,0.04,0.057,0.06,0.045,0.067,1.3043478260869565,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
F,flat vs JSONB (same type and index),K3,K3@G-1,K3@J-3,exec,0.074,0.067,0.085,0.072,0.068,0.086,0.9729729729729729,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),K3,K3@G-1,K3@J-3,plan,0.047,0.043,0.052,0.048,0.043,0.056,1.0212765957446808,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),K3,K3@G-0,K3@J-3c,exec,1.648,1.572,1.722,2.389,2.227,2.528,1.449635922330097,True,K3@G-0,measurable: K3@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),K3,K3@G-0,K3@J-3c,plan,0.036,0.035,0.041,0.039,0.036,0.044,1.0833333333333335,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,K3,K3@J-1,K3@J-3,exec,0.167,0.152,0.188,0.072,0.068,0.086,0.43113772455089816,True,K3@J-3,measurable: K3@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,K3,K3@J-1,K3@J-3,plan,0.075,0.059,0.087,0.048,0.043,0.056,0.64,True,K3@J-3,measurable: K3@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,K3,K3@J-0g,K3@J-3c,exec,28.91,26.308,30.73,2.389,2.227,2.528,0.08263576617087512,True,K3@J-3c,measurable: K3@J-3c faster,0/15,0/15
J,JSONB storage form,K3,K3@J-0g,K3@J-3c,plan,0.05,0.045,0.059,0.039,0.036,0.044,0.7799999999999999,True,K3@J-3c,measurable: K3@J-3c faster; below 0.1 ms: confirmed in session 2,0/15,0/15
J,construction cost,P,P4@J-0y,P1@Y-0,exec,36.468,35.16,38.023,10.226,9.99,10.484,0.28041022266096305,True,P1@Y-0,measurable: P1@Y-0 faster,0/15,0/15
J,construction cost,P,P4@J-0y,P1@Y-0,plan,0.043,0.039,0.045,0.044,0.037,0.05,1.0232558139534884,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,construction cost,P,P4@J-0y,P3@N-0,exec,36.468,35.16,38.023,14.413,13.504,15.011,0.39522320938905336,True,P3@N-0,measurable: P3@N-0 faster,0/15,0/15
J,construction cost,P,P4@J-0y,P3@N-0,plan,0.043,0.039,0.045,0.038,0.036,0.043,0.8837209302325582,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,construction cost,P,P3@N-0,P1@Y-0,exec,14.413,13.504,15.011,10.226,9.99,10.484,0.7094983695275099,True,P1@Y-0,measurable: P1@Y-0 faster,0/15,0/15
J,construction cost,P,P3@N-0,P1@Y-0,plan,0.038,0.036,0.043,0.044,0.037,0.05,1.1578947368421053,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
GG,geometry vs geography / method,P,P1@Y-0,P2@Y-0,exec,10.226,9.99,10.484,5.188,5.004,5.506,0.507334246039507,True,P2@Y-0,measurable: P2@Y-0 faster,0/15,0/15
GG,geometry vs geography / method,P,P1@Y-0,P2@Y-0,plan,0.044,0.037,0.05,0.033,0.03,0.035,0.7500000000000001,False,,not measurable (session 2 does not confirm),0/15,0/15
